,Latency Average,Latency Min,Latency Max,Sendrate Average,Sendrate Min,Sendrate Max,Interconnect,NumberOfNodes,Load Value,NIBufferCapacity
22,0.006921687904750371,0.0069134181090725,0.00693723465391315,278.0369393020722,277.936398519516,278.119114195218,Bus,9,0.95,2.0
23,0.014102970306136088,0.0140649948886471,0.0141354222882126,278.1855980866456,278.129066833248,278.250766403969,Bus,9,0.95,4.0
24,0.02126537011646746,0.0211944756694682,0.0213268404587513,278.5828938079747,278.484799868264,278.67100485923197,Bus,9,0.95,6.0
25,0.028418823803420937,0.028221216597631,0.028533248074922996,279.2323995241817,279.106156692259,279.319718351238,Bus,9,0.95,8.0
26,0.004542710681593939,0.004538322122790921,0.0045478531360672704,208.40519410776142,208.22481120926898,208.47256362048302,Bus,12,0.95,1.0
27,0.009337363581787978,0.00932241268044606,0.00934747102228045,208.56257271607208,208.488186013806,208.67161054644902,Bus,12,0.95,2.0
28,0.01891609917782699,0.0188808503032402,0.0189451882156339,208.8545375446191,208.76682889053902,208.9436664418,Bus,12,0.95,4.0
29,0.028478274120547983,0.0283572817003519,0.0285488340029753,209.12995598050915,209.05423943464,209.195006636345,Bus,12,0.95,6.0
30,0.03802276120771598,0.0377579376121162,0.0381472929936833,209.42923336193715,209.34166764760897,209.47353708032298,Bus,12,0.95,8.0
31,0.006146983469129778,0.00614099456769157,0.0061499999999950605,156.2970528063722,156.264795867162,156.33322160816098,Bus,16,0.95,1.0
32,0.01254072740310127,0.0125230733665165,0.0125499999999867,156.41375953328327,156.363167741251,156.45308926081498,Bus,16,0.95,2.0
33,0.025315310896099032,0.0252747179675481,0.025349999999978997,156.6223455385441,156.56247810706,156.67208348371202,Bus,16,0.95,4.0
34,0.038069259250452236,0.0378901828903305,0.0381499740672373,156.69842310835256,156.653241688638,156.735667307822,Bus,16,0.95,6.0
35,0.05081089652322779,0.0505363632560536,0.0509499927836964,156.85458318503203,156.81228395907,156.91770741613,Bus,16,0.95,8.0
0,0.00817291835237647,0.00507513500422627,0.0127152361077955,557.3634532413298,537.2893633266459,569.517827521033,Mesh,4,0.95,8.0
1,0.027538288778686026,0.0132581643334279,0.038623335492852004,404.2272547482617,303.26355076934396,536.62277680122,Mesh,8,0.95,6.0
2,0.03321079728660023,0.0157080877172847,0.0502601340128924,420.45004323113534,287.837701819963,552.380962317445,Mesh,9,0.95,8.0
3,0.013769760612992428,0.006926023390522,0.0194583894240909,237.01417737591805,65.5058799590407,455.45745565658797,Mesh,16,0.95,1.0
4,0.05608492028368038,0.0472510498411714,0.0676561752420158,173.23289720980696,92.0514235173724,285.206938000926,Torus,8,0.95,4.0
5,0.036215766645113806,0.0321966823957985,0.041046608200419,115.31137694931921,92.0597941946089,144.968086299093,Torus,9,0.95,1.0
6,0.0502353111745654,0.04314412390589399,0.0592555659674509,120.77116707428992,66.208876413397,197.278117156335,Torus,12,0.95,2.0
7,0.1224266309951173,0.106151964997569,0.143352956606041,170.6766902370123,80.080571116605,294.080224848929,Torus,16,0.95,8.0
0,0.005979111140266003,0.004041760097786,0.0075605447157395,441.1478566868358,369.63406751037496,500.38209321603597,Mesh,6,0.95,1.0
1,0.017720570346124915,0.00923512081192749,0.0249111130641546,487.2491766237288,430.502592391699,551.934439266736,Mesh,6,0.95,6.0
2,,,,,,,Mesh,9,0.95,2.0
3,0.02055409141774185,0.00965902376756067,0.0302065952516631,384.24904408481837,243.050273619076,533.837924961438,Mesh,9,0.95,4.0
4,0.036431443723267495,0.0164415908625846,0.053523199683901,338.87010049811136,184.344014444048,532.377856226091,Mesh,12,0.95,6.0
5,0.05651591975029905,0.0240596202947581,0.08481246473654902,297.4598754421461,116.816373083991,534.314201999281,Mesh,16,0.95,8.0
6,0.042267583375249634,0.0374134732961716,0.0499270739434108,91.61808413100931,52.7109318345265,150.767734896246,Torus,12,0.95,1.0
7,0.06230541810306995,0.0530419105725735,0.0721222893948192,105.28098782373057,58.46394150371779,174.411419281734,Torus,16,0.95,2.0
