Latency Average,Latency Min,Latency Max,Sendrate Average,Sendrate Min,Sendrate Max,Interconnect,NumberOfNodes,Load Value,NIBufferCapacity
0.042608781,0.037057281,0.048529419,91.18656497,51.4392267,148.6584501,Torus,12,0.95,1
0.056213579,0.050528129,0.063809907,106.4052392,70.61812736,139.1294343,Torus,16,0.45,2
0.050661899,0.045117409,0.059378299,80.21382396,50.07882944,124.145443,Torus,16,0.65,1
0.002087383,0.002074724,0.002096172,416.8083971,413.5238026,419.5085512,Bus,6,0.95,1
0.006837954,0.006801156,0.006869775,417.2245595,417.0152928,417.3525845,Bus,6,0.95,3
0.001745332,0.001700081,0.001789367,376.376866,371.6031168,379.078284,Bus,6,0.65,2
0.000982463,0.000961923,0.001004573,255.6038115,250.0400707,260.8601913,Bus,8,0.45,1
0.002318875,0.002254982,0.002406518,262.2930526,257.1654271,267.4379456,Bus,8,0.45,3
0.000467496,0.000452387,0.000481719,150.6998281,148.5770392,152.2557396,Bus,8,0.25,3
0.005294948,0.005198366,0.005374654,278.3422807,271.6760776,288.025042,Bus,9,0.65,2
0.00258073,0.00254807,0.002614091,206.8549416,195.5248106,214.9213513,Bus,12,0.45,1
0.008204782,0.008034798,0.008344233,207.8205945,200.869885,216.1414642,Bus,12,0.45,3
0.001752705,0.001685163,0.001827123,148.5491908,145.5508958,151.0072594,Bus,12,0.25,3
0.005528129,0.005488659,0.005573108,156.540667,151.294482,159.0205188,Bus,16,0.65,1
0.002305049,0.002217961,0.002385735,272.8998408,269.8921982,277.240408,Mesh,4,0.45,2
0.004732804,0.00346132,0.006474684,535.168546,510.4389059,558.6739974,Mesh,4,0.95,2
0.002387515,0.002211418,0.002484575,151.1162418,147.2155727,155.6703822,Mesh,6,0.25,1
0.011380068,0.006493262,0.01526245,462.4913126,395.1309107,528.6210345,Mesh,6,0.95,3
0.004002704,0.003235795,0.004781953,265.6647966,260.6303433,276.2436527,Mesh,8,0.45,2
0.005399639,0.003929562,0.006628735,342.480181,317.244218,370.1716902,Mesh,8,0.65,1
0.004296521,0.003523561,0.005255559,266.8352537,263.084211,271.8063978,Mesh,9,0.45,3
0.00716636,0.004547521,0.009598919,351.58958,312.5071442,383.4475901,Mesh,9,0.65,2
0.003237789,0.002852988,0.003673462,151.7312325,148.9343822,154.6931706,Mesh,12,0.25,2
0.021825213,0.009860665,0.031377015,314.4722662,152.4804086,510.349594,Mesh,12,0.95,3
0.003684102,0.0032277,0.004196362,149.410706,139.5621778,158.6616698,Mesh,16,0.25,1
0.013830765,0.006849829,0.019655715,235.9946865,63.86979349,457.1419061,Mesh,16,0.95,1
0.014520433,0.007265551,0.020171962,271.6565814,154.8939989,365.0899811,Mesh,16,0.65,2
0.026739658,0.022069586,0.033711458,113.3163895,104.7966577,119.2214434,Torus,8,0.25,2
0.034386967,0.028775731,0.040490024,101.3365504,63.9718648,147.7305018,Torus,8,0.65,1
0.02765146,0.02289991,0.034336901,97.36365542,88.66010603,107.9883584,Torus,9,0.25,1
0.034973946,0.032027964,0.039154525,115.2762822,97.13568084,138.2464822,Torus,9,0.65,1
0.032288015,0.02758022,0.039026601,87.57995105,74.7326847,95.57806476,Torus,12,0.25,1
0.052367124,0.045864979,0.063277809,151.4601753,94.24912447,217.4307517,Torus,12,0.65,3
0.042024751,0.037874572,0.048149251,76.90528572,65.18244769,87.57294444,Torus,16,0.25,1
0.059464344,0.052977497,0.070016151,106.7286217,63.12195093,162.2585321,Torus,16,0.65,2
0.000434385,0.000425206,0.000440205,150.6696588,148.9582304,153.1311135,Bus,8,0.25,2
0.000443953,0.000430341,0.000454512,149.4690242,146.9147156,152.2251831,Bus,9,0.25,1
0.001350341,0.001322851,0.001390749,147.7607122,144.2731007,151.035566,Bus,12,0.25,2
0.006146299,0.006139352,0.006149208,156.3045462,156.2529905,156.3528654,Bus,16,0.95,1
0.012540526,0.012523401,0.01255,156.3749217,156.3389241,156.416872,Bus,16,0.95,2
0.018928313,0.018853713,0.01895,156.456125,156.4105302,156.5059123,Bus,16,0.95,3
0.011476461,0.011335245,0.011605408,156.5413951,153.4374044,159.1060464,Bus,16,0.65,2
0.002308953,0.002241149,0.002402031,273.0389586,269.912177,277.4804306,Mesh,4,0.45,3
0.005684988,0.003838158,0.008222509,541.1371869,515.3718698,564.359352,Mesh,4,0.95,3
0.002449341,0.002243044,0.002567383,150.2040885,145.841526,156.107282,Mesh,6,0.25,2
0.004384112,0.003467533,0.005169971,378.474077,370.4536709,384.8964199,Mesh,6,0.65,2
0.002804505,0.002512787,0.003017917,150.6235881,147.5930842,157.3240255,Mesh,8,0.25,2
0.016169053,0.008328383,0.022645697,385.4129947,274.258887,518.0295517,Mesh,8,0.95,3
0.004100205,0.003511791,0.004753662,266.640162,261.9672491,271.0644472,Mesh,9,0.45,2
0.01260834,0.006647246,0.017917845,369.3653984,235.9912091,510.7779378,Mesh,9,0.95,2
0.00553326,0.004226087,0.007191008,259.6580064,251.3630136,265.5020576,Mesh,12,0.45,2
0.008029991,0.004978772,0.010678877,292.6981526,213.8114667,353.977826,Mesh,12,0.65,1
0.00811965,0.005363427,0.010909786,249.7057384,224.3063368,265.4606467,Mesh,16,0.45,2
0.027330094,0.011660009,0.040698801,263.3980343,86.86217186,498.5424444,Mesh,16,0.95,3
0.026161979,0.020626671,0.033364956,93.38026877,82.92014599,99.61093582,Torus,8,0.25,1
0.044151464,0.037191561,0.054895691,127.2895844,69.97013736,208.3334181,Torus,8,0.95,2
0.032953601,0.029642123,0.036814201,111.7485731,98.12667502,122.84486,Torus,9,0.45,1
